transaction_number,maker,checker,status,type,capture_date,sla,team,score
186994,Name 7,Name 6,True,Master Deal,2025-04-13,1,Team A,97
850369,Name 12,Name 11,True,Master Deal,2025-04-13,1,Team B,99
168097,Name 14,Name 13,True,Single Deal,2025-04-14,2,Team B,99
896665,Name 13,Name 14,True,Single Deal,2025-04-14,2,Team B,99
421282,Name 8,Name 9,True,Single Deal,2025-04-15,3,Team A,100
343967,Name 10,Name 12,True,Single Deal,2025-04-15,1,Team B,99
474604,Name 14,Name 11,True,Single Deal,2025-04-15,2,Team B,99
110793,Name 13,Name 11,True,Single Deal,2025-04-15,1,Team B,98
444548,Name 13,Name 12,True,Master Deal,2025-04-16,1,Team B,98
945783,Name 11,Name 12,True,Single Deal,2025-04-16,1,Team B,99
746233,Name 1,Name 4,True,Master Deal,2025-04-17,1,Team A,98
359069,Name 13,Name 11,True,Single Deal,2025-04-17,2,Team B,100
461848,Name 1,Name 5,True,Single Deal,2025-04-17,1,Team A,99
184543,Name 14,Name 11,True,Single Deal,2025-04-18,2,Team B,98
636565,Name 4,Name 9,True,Single Deal,2025-04-18,2,Team A,100
486737,Name 14,Name 13,True,Single Deal,2025-04-18,4,Team B,99
225909,Name 6,Name 2,True,Single Deal,2025-04-18,1,Team A,100
746839,Name 4,Name 7,True,Master Deal,2025-04-18,2,Team A,99
197716,Name 8,Name 1,True,Single Deal,2025-04-18,2,Team A,100
402244,Name 3,Name 8,True,Single Deal,2025-04-18,5,Team A,98
515597,Name 9,Name 7,True,Single Deal,2025-04-18,1,Team A,100
775180,Name 9,Name 5,True,Master Deal,2025-04-18,1,Team A,99
730320,Name 7,Name 9,True,Single Deal,2025-04-19,2,Team A,100
248638,Name 9,Name 4,True,Single Deal,2025-04-19,2,Team A,100
630888,Name 10,Name 12,True,Master Deal,2025-04-19,1,Team B,99
521296,Name 1,Name 5,True,Single Deal,2025-04-19,2,Team A,99
294735,Name 13,Name 10,True,Single Deal,2025-04-19,3,Team B,99
183105,Name 9,Name 4,True,Single Deal,2025-04-19,1,Team A,98
860973,Name 14,Name 10,True,Master Deal,2025-04-19,2,Team B,100
421078,Name 13,Name 12,True,Single Deal,2025-04-20,1,Team B,100
696146,Name 12,Name 14,True,Single Deal,2025-04-20,2,Team B,99
658617,Name 11,Name 14,True,Single Deal,2025-04-21,2,Team B,100
988439,Name 4,Name 5,True,Master Deal,2025-04-22,4,Team A,100
464314,Name 1,Name 9,True,Master Deal,2025-04-22,3,Team A,100
353580,Name 12,Name 10,True,Master Deal,2025-04-22,4,Team B,99
593091,Name 14,Name 10,True,Single Deal,2025-04-22,1,Team B,100
753323,Name 8,Name 2,True,Single Deal,2025-04-22,2,Team A,100
574489,Name 10,Name 14,True,Single Deal,2025-04-22,2,Team B,100
838694,Name 7,Name 2,True,Master Deal,2025-04-22,4,Team A,100
621282,Name 8,Name 4,True,Single Deal,2025-04-23,1,Team A,98
364589,Name 11,Name 13,True,Single Deal,2025-04-23,1,Team B,100
633552,Name 9,Name 5,True,Single Deal,2025-04-23,4,Team A,100
595620,Name 7,Name 6,True,Single Deal,2025-04-23,1,Team A,100
836150,Name 6,Name 8,True,Single Deal,2025-04-23,2,Team A,100
187312,Name 10,Name 14,True,Single Deal,2025-04-23,3,Team B,99
246043,Name 1,Name 5,True,Single Deal,2025-04-24,2,Team A,100
526132,Name 9,Name 6,True,Single Deal,2025-04-25,2,Team A,99
436290,Name 4,Name 1,True,Single Deal,2025-04-25,1,Team A,99
883572,Name 11,Name 13,True,Single Deal,2025-04-25,3,Team B,100
204827,Name 7,Name 3,True,Single Deal,2025-04-25,2,Team A,99
301586,Name 7,Name 2,True,Single Deal,2025-04-25,3,Team A,99
174363,Name 11,Name 14,True,Single Deal,2025-04-26,2,Team B,100
880406,Name 12,Name 14,True,Master Deal,2025-04-26,2,Team B,100
253209,Name 14,Name 10,True,Master Deal,2025-04-26,3,Team B,99
709834,Name 9,Name 8,True,Single Deal,2025-04-26,1,Team A,100
199566,Name 10,Name 11,True,Master Deal,2025-04-27,1,Team B,100
252634,Name 9,Name 5,True,Single Deal,2025-04-27,3,Team A,100
601775,Name 1,Name 2,True,Master Deal,2025-04-27,5,Team A,99
698129,Name 14,Name 10,True,Single Deal,2025-04-28,1,Team B,100
962816,Name 7,Name 6,True,Single Deal,2025-04-29,4,Team A,98
169445,Name 1,Name 5,True,Single Deal,2025-04-30,3,Team A,99
516849,Name 8,Name 6,True,Single Deal,2025-04-30,1,Team A,100
270336,Name 9,Name 1,True,Master Deal,2025-04-30,9,Team A,100
746759,Name 3,Name 8,True,Single Deal,2025-04-30,1,Team A,100
297205,Name 13,Name 14,True,Single Deal,2025-05-01,2,Team B,100
102870,Name 2,Name 9,True,Single Deal,2025-05-01,4,Team A,100
121489,Name 10,Name 14,True,Single Deal,2025-05-01,2,Team B,99
175550,Name 12,Name 14,True,Single Deal,2025-05-01,1,Team B,100
346240,Name 10,Name 14,True,Single Deal,2025-05-02,2,Team B,99
808942,Name 10,Name 13,True,Master Deal,2025-05-02,2,Team B,100
659890,Name 2,Name 6,True,Single Deal,2025-05-03,1,Team A,99
269960,Name 7,Name 9,True,Single Deal,2025-05-03,4,Team A,100
778799,Name 3,Name 4,True,Single Deal,2025-05-03,1,Team A,99
380080,Name 7,Name 8,True,Single Deal,2025-05-03,2,Team A,100
584795,Name 8,Name 4,True,Master Deal,2025-05-03,1,Team A,100
583155,Name 13,Name 11,True,Master Deal,2025-05-03,3,Team B,100
953779,Name 5,Name 3,True,Single Deal,2025-05-04,1,Team A,100
880413,Name 10,Name 12,True,Single Deal,2025-05-05,2,Team B,99
157008,Name 4,Name 5,True,Single Deal,2025-05-05,2,Team A,100
639902,Name 8,Name 2,True,Single Deal,2025-05-05,2,Team A,100
719110,Name 3,Name 2,True,Single Deal,2025-05-05,2,Team A,100
586903,Name 12,Name 13,True,Master Deal,2025-05-05,3,Team B,100
600284,Name 6,Name 8,True,Single Deal,2025-05-06,3,Team A,99
696948,Name 12,Name 11,True,Single Deal,2025-05-06,5,Team B,98
181447,Name 13,Name 11,True,Single Deal,2025-05-06,3,Team B,100
536999,Name 3,Name 7,True,Single Deal,2025-05-06,1,Team A,100
903575,Name 13,Name 12,True,Single Deal,2025-05-06,2,Team B,98
803763,Name 2,Name 3,True,Master Deal,2025-05-06,1,Team A,99
487470,Name 13,Name 10,True,Single Deal,2025-05-06,4,Team B,98
141340,Name 14,Name 11,True,Single Deal,2025-05-06,2,Team B,100
378803,Name 12,Name 13,True,Single Deal,2025-05-06,5,Team B,99
632214,Name 1,Name 6,True,Single Deal,2025-05-07,2,Team A,99
769252,Name 5,Name 2,True,Single Deal,2025-05-07,1,Team A,100
143683,Name 1,Name 7,True,Single Deal,2025-05-07,3,Team A,99
535094,Name 1,Name 8,True,Master Deal,2025-05-07,4,Team A,98
315450,Name 11,Name 12,True,Single Deal,2025-05-08,3,Team B,99
135165,Name 8,Name 2,True,Single Deal,2025-05-08,3,Team A,100
579123,Name 7,Name 3,True,Single Deal,2025-05-08,4,Team A,98
165169,Name 14,Name 12,True,Single Deal,2025-05-08,3,Team B,100
109287,Name 1,Name 8,True,Single Deal,2025-05-08,2,Team A,99
989671,Name 10,Name 11,True,Single Deal,2025-05-09,2,Team B,99
129607,Name 10,Name 13,True,Master Deal,2025-05-09,1,Team B,100
442394,Name 11,Name 13,True,Single Deal,2025-05-09,1,Team B,99
244207,Name 2,Name 5,True,Master Deal,2025-05-10,1,Team A,100
271328,Name 7,Name 6,True,Single Deal,2025-05-11,1,Team A,98
557861,Name 4,Name 9,True,Single Deal,2025-05-12,2,Team A,99
443034,Name 5,Name 2,True,Single Deal,2025-05-12,2,Team A,100
543721,Name 9,Name 6,True,Single Deal,2025-05-13,3,Team A,99
575690,Name 14,Name 12,True,Single Deal,2025-05-13,1,Team B,100
566018,Name 5,Name 4,True,Single Deal,2025-05-14,3,Team A,100
491772,Name 2,Name 9,True,Single Deal,2025-05-15,1,Team A,98
728958,Name 11,Name 10,True,Single Deal,2025-05-15,3,Team B,100
633881,Name 2,Name 5,True,Single Deal,2025-05-16,1,Team A,98
404798,Name 4,Name 8,True,Single Deal,2025-05-16,2,Team A,99
523631,Name 4,Name 1,True,Single Deal,2025-05-16,4,Team A,100
478250,Name 13,Name 12,True,Single Deal,2025-05-16,2,Team B,98
943721,Name 11,Name 14,True,Master Deal,2025-05-16,1,Team B,100
390637,Name 7,Name 4,True,Single Deal,2025-05-16,3,Team A,100
171921,Name 12,Name 11,True,Single Deal,2025-05-16,1,Team B,99
779299,Name 8,Name 6,True,Single Deal,2025-05-17,3,Team A,100
890478,Name 12,Name 14,True,Single Deal,2025-05-17,1,Team B,99
474880,Name 1,Name 8,True,Single Deal,2025-05-17,3,Team A,99
677433,Name 1,Name 7,True,Single Deal,2025-05-18,2,Team A,100
435158,Name 2,Name 5,True,Single Deal,2025-05-18,3,Team A,100
957588,Name 7,Name 6,True,Single Deal,2025-05-18,3,Team A,98
400434,Name 2,Name 1,True,Single Deal,2025-05-19,1,Team A,100
439910,Name 10,Name 12,True,Master Deal,2025-05-19,3,Team B,100
275660,Name 5,Name 6,True,Single Deal,2025-05-19,4,Team A,97
368727,Name 5,Name 2,True,Single Deal,2025-05-19,2,Team A,98
750360,Name 14,Name 11,True,Master Deal,2025-05-21,2,Team B,100
162788,Name 14,Name 11,True,Single Deal,2025-05-21,2,Team B,100
656524,Name 2,Name 4,True,Master Deal,2025-05-21,1,Team A,100
305219,Name 10,Name 13,True,Master Deal,2025-05-23,1,Team B,100
170064,Name 2,Name 6,True,Single Deal,2025-05-23,5,Team A,100
991904,Name 5,Name 3,True,Master Deal,2025-05-23,1,Team A,99
717006,Name 1,Name 4,True,Single Deal,2025-05-23,1,Team A,100
553762,Name 14,Name 10,True,Single Deal,2025-05-23,5,Team B,100
223436,Name 9,Name 5,True,Master Deal,2025-05-23,1,Team A,98
558408,Name 9,Name 7,True,Master Deal,2025-05-23,2,Team A,99
615200,Name 2,Name 5,True,Single Deal,2025-05-24,1,Team A,98
337765,Name 8,Name 6,True,Single Deal,2025-05-24,3,Team A,98
357728,Name 6,Name 3,True,Master Deal,2025-05-24,1,Team A,98
227339,Name 12,Name 10,True,Single Deal,2025-05-24,1,Team B,99
233611,Name 11,Name 12,True,Single Deal,2025-05-25,2,Team B,100
819839,Name 8,Name 5,True,Master Deal,2025-05-25,1,Team A,100
711931,Name 6,Name 1,True,Single Deal,2025-05-25,2,Team A,97
670147,Name 5,Name 1,True,Master Deal,2025-05-26,5,Team A,100
664964,Name 3,Name 5,True,Single Deal,2025-05-26,1,Team A,100
728455,Name 1,Name 7,True,Single Deal,2025-05-26,2,Team A,100
634256,Name 3,Name 9,True,Single Deal,2025-05-26,2,Team A,100
969307,Name 1,Name 7,True,Single Deal,2025-05-27,4,Team A,99
861474,Name 14,Name 11,True,Master Deal,2025-05-27,4,Team B,100
650686,Name 1,Name 5,True,Master Deal,2025-05-27,1,Team A,99
139280,Name 8,Name 6,True,Single Deal,2025-05-28,2,Team A,100
952812,Name 2,Name 9,True,Master Deal,2025-05-28,3,Team A,100
387458,Name 6,Name 1,True,Master Deal,2025-05-28,3,Team A,99
263125,Name 5,Name 3,True,Master Deal,2025-05-28,1,Team A,99
838239,Name 6,Name 7,True,Single Deal,2025-05-29,1,Team A,99
762215,Name 10,Name 13,True,Master Deal,2025-05-30,1,Team B,100
592738,Name 12,Name 11,True,Master Deal,2025-05-30,4,Team B,100
434977,Name 1,Name 7,True,Single Deal,2025-05-30,1,Team A,99
742833,Name 4,Name 2,True,Single Deal,2025-05-30,2,Team A,99
213329,Name 11,Name 10,True,Single Deal,2025-05-30,1,Team B,100
233511,Name 6,Name 1,True,Single Deal,2025-05-31,3,Team A,100
793722,Name 2,Name 4,True,Master Deal,2025-05-31,2,Team A,100
813385,Name 7,Name 6,True,Single Deal,2025-05-31,3,Team A,100
353677,Name 2,Name 7,True,Master Deal,2025-05-31,2,Team A,100
751107,Name 11,Name 10,True,Single Deal,2025-05-31,2,Team B,99
226169,Name 2,Name 6,True,Single Deal,2025-06-01,1,Team A,100
722273,Name 9,Name 4,True,Single Deal,2025-06-01,2,Team A,100
200331,Name 9,Name 1,True,Single Deal,2025-06-01,1,Team A,99
695787,Name 6,Name 1,True,Single Deal,2025-06-01,1,Team A,98
205549,Name 2,Name 1,True,Master Deal,2025-06-01,2,Team A,100
323934,Name 8,Name 3,True,Single Deal,2025-06-02,1,Team A,100
150692,Name 14,Name 11,True,Single Deal,2025-06-02,4,Team B,100
613756,Name 7,Name 3,True,Single Deal,2025-06-02,1,Team A,100
803848,Name 9,Name 7,True,Single Deal,2025-06-03,4,Team A,99
224731,Name 1,Name 3,True,Single Deal,2025-06-03,3,Team A,100
269724,Name 8,Name 3,True,Master Deal,2025-06-03,1,Team A,100
631747,Name 12,Name 13,True,Master Deal,2025-06-04,5,Team B,98
533595,Name 6,Name 3,True,Single Deal,2025-06-04,5,Team A,100
418239,Name 10,Name 14,True,Single Deal,2025-06-04,1,Team B,99
686852,Name 9,Name 3,True,Master Deal,2025-06-04,2,Team A,98
485999,Name 9,Name 2,True,Single Deal,2025-06-04,5,Team A,100
104493,Name 9,Name 7,True,Single Deal,2025-06-04,1,Team A,100
424526,Name 9,Name 3,True,Single Deal,2025-06-04,2,Team A,100
478986,Name 9,Name 1,True,Single Deal,2025-06-04,2,Team A,98
729602,Name 8,Name 4,True,Single Deal,2025-06-04,1,Team A,100
367541,Name 6,Name 5,True,Single Deal,2025-06-05,2,Team A,100
921140,Name 5,Name 4,True,Single Deal,2025-06-05,1,Team A,100
638462,Name 9,Name 8,True,Single Deal,2025-06-05,1,Team A,100
887324,Name 5,Name 6,True,Single Deal,2025-06-05,3,Team A,100
648898,Name 5,Name 1,True,Master Deal,2025-06-05,2,Team A,100
190622,Name 1,Name 8,True,Single Deal,2025-06-05,1,Team A,100
707794,Name 11,Name 14,True,Single Deal,2025-06-06,2,Team B,100
678940,Name 2,Name 4,True,Single Deal,2025-06-06,1,Team A,100
357579,Name 14,Name 12,True,Master Deal,2025-06-06,2,Team B,98
458070,Name 9,Name 1,True,Single Deal,2025-06-06,3,Team A,99
485353,Name 11,Name 14,True,Single Deal,2025-06-06,5,Team B,99
196753,Name 14,Name 12,True,Single Deal,2025-06-06,1,Team B,100
460262,Name 14,Name 10,True,Single Deal,2025-06-06,2,Team B,99
954209,Name 11,Name 12,True,Single Deal,2025-06-06,3,Team B,100
878594,Name 6,Name 4,True,Single Deal,2025-06-06,3,Team A,100
429207,Name 10,Name 13,True,Single Deal,2025-06-06,1,Team B,100
520017,Name 11,Name 10,True,Single Deal,2025-06-07,3,Team B,99
888171,Name 7,Name 2,True,Single Deal,2025-06-07,3,Team A,97
271318,Name 1,Name 3,True,Single Deal,2025-06-07,3,Team A,98
107706,Name 14,Name 12,True,Single Deal,2025-06-07,2,Team B,100
403708,Name 14,Name 10,True,Single Deal,2025-06-08,1,Team B,100
265039,Name 7,Name 1,True,Single Deal,2025-06-08,7,Team A,99
974878,Name 13,Name 11,True,Single Deal,2025-06-08,4,Team B,100
854525,Name 12,Name 13,True,Single Deal,2025-06-08,1,Team B,98
112703,Name 10,Name 13,True,Single Deal,2025-06-08,1,Team B,99
311378,Name 6,Name 8,True,Single Deal,2025-06-09,2,Team A,99
539659,Name 14,Name 13,True,Master Deal,2025-06-09,2,Team B,99
100625,Name 8,Name 5,True,Single Deal,2025-06-09,1,Team A,100
834821,Name 11,Name 10,True,Master Deal,2025-06-09,1,Team B,100
940223,Name 1,Name 4,True,Single Deal,2025-06-09,2,Team A,99
623273,Name 7,Name 2,True,Single Deal,2025-06-09,1,Team A,98
395246,Name 2,Name 8,True,Single Deal,2025-06-09,1,Team A,98
596215,Name 4,Name 9,True,Single Deal,2025-06-10,4,Team A,99
744745,Name 6,Name 7,True,Single Deal,2025-06-10,3,Team A,100
609867,Name 4,Name 3,True,Master Deal,2025-06-10,2,Team A,99
996777,Name 9,Name 3,True,Single Deal,2025-06-10,1,Team A,100
928317,Name 2,Name 1,True,Master Deal,2025-06-10,2,Team A,100
882911,Name 3,Name 2,True,Single Deal,2025-06-10,2,Team A,99
336474,Name 4,Name 9,True,Single Deal,2025-06-10,3,Team A,100
556065,Name 9,Name 5,True,Single Deal,2025-06-10,2,Team A,100
405579,Name 8,Name 9,True,Single Deal,2025-06-11,2,Team A,99
930434,Name 11,Name 10,True,Single Deal,2025-06-11,1,Team B,99
813404,Name 13,Name 14,True,Master Deal,2025-06-12,2,Team B,100
300557,Name 9,Name 6,True,Single Deal,2025-06-12,4,Team A,99
334275,Name 1,Name 6,True,Master Deal,2025-06-12,1,Team A,99
496283,Name 13,Name 12,True,Single Deal,2025-06-12,2,Team B,100
206223,Name 5,Name 4,True,Single Deal,2025-06-12,1,Team A,100
776340,Name 13,Name 14,True,Single Deal,2025-06-12,3,Team B,99
656727,Name 11,Name 14,True,Single Deal,2025-06-12,3,Team B,100
166357,Name 4,Name 9,True,Single Deal,2025-06-12,2,Team A,100
701560,Name 12,Name 14,True,Single Deal,2025-06-12,2,Team B,100
619257,Name 1,Name 7,True,Master Deal,2025-06-12,5,Team A,100
756013,Name 7,Name 8,True,Single Deal,2025-06-13,2,Team A,100
890315,Name 2,Name 3,True,Single Deal,2025-06-13,2,Team A,98
554949,Name 11,Name 13,True,Single Deal,2025-06-13,3,Team B,99
893516,Name 10,Name 13,True,Master Deal,2025-06-13,1,Team B,100
831159,Name 12,Name 11,True,Single Deal,2025-06-13,1,Team B,99
978050,Name 7,Name 1,True,Master Deal,2025-06-13,1,Team A,100
550998,Name 4,Name 6,True,Master Deal,2025-06-13,5,Team A,100
595426,Name 5,Name 6,True,Master Deal,2025-06-14,4,Team A,100
104236,Name 4,Name 7,True,Master Deal,2025-06-14,4,Team A,97
527636,Name 9,Name 5,True,Single Deal,2025-06-14,4,Team A,100
845647,Name 4,Name 6,True,Master Deal,2025-06-14,1,Team A,100
491143,Name 14,Name 10,True,Single Deal,2025-06-14,2,Team B,100
573668,Name 4,Name 6,True,Single Deal,2025-06-14,2,Team A,100
504848,Name 12,Name 11,True,Master Deal,2025-06-14,4,Team B,100
228028,Name 3,Name 4,True,Single Deal,2025-06-14,4,Team A,100
213037,Name 9,Name 6,True,Master Deal,2025-06-14,8,Team A,97
289707,Name 2,Name 8,True,Single Deal,2025-06-14,2,Team A,99
697905,Name 6,Name 3,True,Single Deal,2025-06-15,2,Team A,100
903716,Name 10,Name 12,True,Single Deal,2025-06-15,2,Team B,100
252465,Name 11,Name 14,True,Single Deal,2025-06-15,4,Team B,98
324523,Name 13,Name 14,True,Single Deal,2025-06-15,1,Team B,100
447514,Name 4,Name 1,True,Single Deal,2025-06-15,1,Team A,100
611482,Name 12,Name 11,True,Single Deal,2025-06-15,1,Team B,100
975374,Name 4,Name 2,True,Single Deal,2025-06-15,2,Team A,100
587070,Name 7,Name 4,True,Master Deal,2025-06-15,1,Team A,100
373421,Name 6,Name 9,True,Single Deal,2025-06-16,4,Team A,100
166071,Name 14,Name 12,True,Single Deal,2025-06-16,3,Team B,100
635946,Name 4,Name 7,True,Single Deal,2025-06-16,1,Team A,98
476984,Name 7,Name 1,True,Single Deal,2025-06-16,1,Team A,99
118785,Name 3,Name 4,True,Master Deal,2025-06-16,3,Team A,100
829088,Name 12,Name 14,True,Master Deal,2025-06-16,4,Team B,100
576773,Name 6,Name 9,True,Single Deal,2025-06-17,4,Team A,99
506743,Name 14,Name 11,True,Single Deal,2025-06-17,3,Team B,98
566679,Name 8,Name 6,True,Single Deal,2025-06-17,1,Team A,99
975972,Name 10,Name 11,True,Single Deal,2025-06-17,2,Team B,99
964745,Name 2,Name 1,True,Master Deal,2025-06-17,5,Team A,99
984539,Name 5,Name 1,True,Single Deal,2025-06-17,2,Team A,100
940145,Name 13,Name 10,True,Single Deal,2025-06-17,4,Team B,99
762201,Name 7,Name 6,True,Master Deal,2025-06-17,2,Team A,99
999441,Name 4,Name 7,True,Single Deal,2025-06-17,3,Team A,100
647447,Name 11,Name 14,True,Master Deal,2025-06-18,2,Team B,100
366487,Name 12,Name 10,True,Master Deal,2025-06-18,2,Team B,100
810436,Name 14,Name 13,True,Single Deal,2025-06-18,1,Team B,100
274722,Name 9,Name 7,True,Single Deal,2025-06-18,5,Team A,100
940144,Name 6,Name 1,True,Master Deal,2025-06-18,1,Team A,100
334662,Name 10,Name 13,True,Master Deal,2025-06-18,2,Team B,99
679190,Name 1,Name 2,True,Master Deal,2025-06-18,3,Team A,100
233122,Name 12,Name 11,True,Single Deal,2025-06-19,3,Team B,98
736017,Name 12,Name 14,True,Single Deal,2025-06-19,1,Team B,99
144017,Name 13,Name 11,True,Single Deal,2025-06-19,3,Team B,100
526279,Name 10,Name 12,True,Single Deal,2025-06-19,1,Team B,100
793117,Name 2,Name 3,True,Master Deal,2025-06-19,3,Team A,98
484583,Name 11,Name 14,True,Single Deal,2025-06-20,2,Team B,99
157149,Name 5,Name 8,True,Single Deal,2025-06-20,1,Team A,100
443260,Name 12,Name 10,True,Single Deal,2025-06-20,1,Team B,97
153777,Name 10,Name 14,True,Single Deal,2025-06-20,4,Team B,98
679417,Name 13,Name 12,True,Single Deal,2025-06-20,4,Team B,98
372988,Name 12,Name 11,True,Master Deal,2025-06-20,2,Team B,100
140590,Name 11,Name 12,True,Master Deal,2025-06-20,1,Team B,100
495758,Name 3,Name 4,True,Master Deal,2025-06-20,1,Team A,99
529790,Name 5,Name 6,True,Single Deal,2025-06-20,3,Team A,100
718312,Name 8,Name 3,True,Single Deal,2025-06-20,1,Team A,100
372482,Name 6,Name 9,True,Single Deal,2025-06-20,3,Team A,100
892514,Name 5,Name 1,True,Master Deal,2025-06-20,2,Team A,99
467583,Name 10,Name 13,True,Master Deal,2025-06-20,2,Team B,100
650555,Name 3,Name 7,True,Single Deal,2025-06-21,2,Team A,100
401599,Name 9,Name 5,True,Single Deal,2025-06-21,2,Team A,98
642111,Name 2,Name 6,True,Single Deal,2025-06-21,3,Team A,99
983837,Name 5,Name 4,True,Single Deal,2025-06-21,5,Team A,100
400383,Name 5,Name 2,True,Single Deal,2025-06-21,1,Team A,98
191046,Name 4,Name 5,True,Single Deal,2025-06-21,1,Team A,99
888019,Name 3,Name 6,True,Single Deal,2025-06-22,3,Team A,99
621095,Name 9,Name 3,True,Master Deal,2025-06-22,2,Team A,100
211914,Name 7,Name 6,True,Single Deal,2025-06-22,1,Team A,100
927942,Name 8,Name 9,True,Single Deal,2025-06-22,2,Team A,98
262315,Name 9,Name 5,True,Single Deal,2025-06-22,1,Team A,100
138966,Name 5,Name 8,True,Single Deal,2025-06-22,2,Team A,99
936795,Name 4,Name 1,True,Master Deal,2025-06-22,1,Team A,99
414869,Name 11,Name 12,True,Single Deal,2025-06-22,1,Team B,100
347843,Name 10,Name 13,True,Single Deal,2025-06-22,1,Team B,99
726587,Name 4,Name 6,True,Single Deal,2025-06-22,2,Team A,97
601946,Name 1,Name 8,True,Single Deal,2025-06-22,1,Team A,99
665200,Name 8,Name 4,True,Master Deal,2025-06-23,1,Team A,100
586060,Name 9,Name 6,True,Single Deal,2025-06-23,2,Team A,100
218877,Name 3,Name 7,True,Single Deal,2025-06-23,1,Team A,100
855500,Name 14,Name 12,True,Master Deal,2025-06-23,1,Team B,99
170022,Name 12,Name 10,True,Master Deal,2025-06-23,2,Team B,100
224956,Name 9,Name 6,True,Single Deal,2025-06-23,4,Team A,100
581827,Name 1,Name 2,True,Single Deal,2025-06-23,2,Team A,100
734603,Name 5,Name 9,True,Single Deal,2025-06-23,2,Team A,99
166980,Name 6,Name 9,True,Single Deal,2025-06-23,5,Team A,100
716230,Name 9,Name 3,True,Single Deal,2025-06-23,3,Team A,100
312281,Name 14,Name 12,True,Single Deal,2025-06-23,1,Team B,100
486178,Name 2,Name 1,True,Master Deal,2025-06-23,1,Team A,100
435050,Name 8,Name 6,True,Single Deal,2025-06-23,1,Team A,99
885619,Name 9,Name 4,True,Single Deal,2025-06-24,1,Team A,100
253028,Name 11,Name 13,True,Master Deal,2025-06-24,1,Team B,100
949630,Name 9,Name 2,True,Single Deal,2025-06-24,4,Team A,99
895337,Name 7,Name 2,True,Single Deal,2025-06-24,1,Team A,99
735612,Name 7,Name 3,True,Single Deal,2025-06-24,5,Team A,97
404289,Name 9,Name 4,True,Single Deal,2025-06-24,1,Team A,100
177009,Name 4,Name 7,True,Single Deal,2025-06-24,2,Team A,99
402806,Name 14,Name 12,True,Master Deal,2025-06-24,4,Team B,100
333727,Name 7,Name 9,True,Single Deal,2025-06-25,1,Team A,100
791128,Name 9,Name 4,True,Single Deal,2025-06-25,1,Team A,100
917548,Name 11,Name 13,True,Single Deal,2025-06-25,2,Team B,100
620529,Name 5,Name 4,True,Single Deal,2025-06-25,1,Team A,100
993559,Name 6,Name 8,True,Single Deal,2025-06-25,2,Team A,99
338909,Name 13,Name 11,True,Single Deal,2025-06-25,1,Team B,99
755425,Name 8,Name 6,True,Single Deal,2025-06-25,5,Team A,98
202345,Name 5,Name 2,True,Single Deal,2025-06-26,1,Team A,100
771112,Name 11,Name 12,True,Single Deal,2025-06-26,5,Team B,100
414798,Name 3,Name 5,True,Single Deal,2025-06-26,1,Team A,100
864581,Name 12,Name 14,True,Single Deal,2025-06-26,2,Team B,100
398262,Name 11,Name 14,True,Single Deal,2025-06-26,1,Team B,99
800188,Name 7,Name 9,True,Single Deal,2025-06-26,4,Team A,100
334488,Name 5,Name 9,True,Single Deal,2025-06-26,1,Team A,99
369581,Name 2,Name 3,True,Single Deal,2025-06-27,2,Team A,98
624282,Name 5,Name 6,True,Single Deal,2025-06-27,2,Team A,100
365205,Name 7,Name 4,True,Single Deal,2025-06-27,3,Team A,100
597821,Name 10,Name 11,True,Single Deal,2025-06-27,2,Team B,100
306063,Name 11,Name 10,True,Single Deal,2025-06-27,3,Team B,98
492482,Name 11,Name 12,True,Single Deal,2025-06-27,1,Team B,100
146005,Name 13,Name 12,True,Single Deal,2025-06-27,2,Team B,100
259265,Name 14,Name 13,True,Single Deal,2025-06-27,1,Team B,100
668547,Name 3,Name 8,True,Master Deal,2025-06-27,2,Team A,99
326936,Name 14,Name 10,True,Master Deal,2025-06-28,9,Team B,99
662277,Name 9,Name 1,True,Master Deal,2025-06-28,3,Team A,100
428353,Name 1,Name 5,True,Single Deal,2025-06-28,2,Team A,99
671793,Name 13,Name 11,True,Master Deal,2025-06-28,1,Team B,100
339659,Name 5,Name 9,True,Single Deal,2025-06-28,1,Team A,99
485928,Name 3,Name 7,True,Single Deal,2025-06-28,3,Team A,100
767638,Name 5,Name 7,True,Single Deal,2025-06-28,2,Team A,98
309984,Name 2,Name 9,True,Single Deal,2025-06-28,3,Team A,100
886796,Name 3,Name 1,True,Single Deal,2025-06-28,2,Team A,100
940231,Name 10,Name 12,True,Master Deal,2025-06-28,7,Team B,99
437725,Name 13,Name 10,True,Single Deal,2025-06-29,2,Team B,100
186082,Name 13,Name 11,True,Single Deal,2025-06-29,3,Team B,98
708358,Name 7,Name 5,True,Master Deal,2025-06-29,3,Team A,100
785456,Name 14,Name 10,True,Master Deal,2025-06-29,2,Team B,100
841746,Name 8,Name 5,True,Single Deal,2025-06-29,1,Team A,99
804282,Name 14,Name 10,True,Single Deal,2025-06-29,2,Team B,100
117173,Name 2,Name 9,True,Single Deal,2025-06-29,1,Team A,99
150309,Name 3,Name 9,True,Single Deal,2025-06-30,4,Team A,100
246707,Name 11,Name 14,True,Single Deal,2025-06-30,1,Team B,100
900734,Name 9,Name 8,True,Master Deal,2025-06-30,3,Team A,99
606250,Name 7,Name 1,True,Single Deal,2025-06-30,2,Team A,100
159667,Name 5,Name 6,True,Single Deal,2025-06-30,1,Team A,100
